gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-02,OFF_PEAK,"Headway / Schedule Adherence",888.000000000,1231.000000000,
8,8,,"Local Bus","Other Bus",Bus,2019-09-02,OFF_PEAK,"Headway / Schedule Adherence",144.000000000,446.000000000,
9,9,,"Local Bus","Other Bus",Bus,2019-09-02,OFF_PEAK,"Headway / Schedule Adherence",336.000000000,412.000000000,
10,10,,"Local Bus","Other Bus",Bus,2019-09-02,OFF_PEAK,"Headway / Schedule Adherence",205.000000000,354.000000000,
11,11,,"Local Bus","Other Bus",Bus,2019-09-02,OFF_PEAK,"Headway / Schedule Adherence",301.000000000,425.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-02,OFF_PEAK,"Headway / Schedule Adherence",821.000000000,1057.000000000,
16,16,,"Local Bus","Other Bus",Bus,2019-09-02,OFF_PEAK,"Headway / Schedule Adherence",199.000000000,410.000000000,
17,17,,"Local Bus","Other Bus",Bus,2019-09-02,OFF_PEAK,"Headway / Schedule Adherence",46.000000000,150.000000000,
21,21,,"Local Bus","Other Bus",Bus,2019-09-02,OFF_PEAK,"Headway / Schedule Adherence",104.000000000,155.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-02,OFF_PEAK,"Headway / Schedule Adherence",742.000000000,978.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-02,OFF_PEAK,"Headway / Schedule Adherence",910.000000000,1285.000000000,
24,24,,"Local Bus","Other Bus",Bus,2019-09-02,OFF_PEAK,"Headway / Schedule Adherence",62.000000000,185.000000000,
26,26,,"Local Bus","Other Bus",Bus,2019-09-02,OFF_PEAK,"Headway / Schedule Adherence",62.000000000,85.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-02,OFF_PEAK,"Headway / Schedule Adherence",1112.000000000,1633.000000000,
